idPointgrille;date;RRmm;Tmin;Tmax;Rglot;ETPmm
3639;23/2/2009 000000;13;7,1;-1,9;1273;0,7
3639;24/2/2009 000000;39,1;6,3;7,5;532;0,3
3639;25/2/2009 000000;35,2;9,5;5,3;1115;0,6
3639;26/2/2009 000000;26,4;-4,7;6,3;572;0,1
3639;27/2/2009 000000;40;7,2;4;1239;1
3639;28/2/2009 000000;8,2;-1,1;1,9;984;1
3640;1/1/2009 000000;9,7;1,3;-1,8;1827;0,3
3640;2/1/2009 000000;3,5;-2,2;1,2;1007;0,5
3640;3/1/2009 000000;27,9;-0,2;8,4;978;0,3
3640;4/1/2009 000000;3,7;4,8;0,3;1447;0,2
3640;5/1/2009 000000;7,4;7,3;0,9;1161;0,3
3640;6/1/2009 000000;28,7;4,2;0,7;1910;0,9
3640;7/1/2009 000000;2,3;3,4;9,4;1982;0
3640;8/1/2009 000000;4,4;9,6;-2,2;1429;0,9
3640;9/1/2009 000000;16,5;-4,7;4,7;571;0,3
3640;10/1/2009 000000;35,4;2,3;7,2;1535;1
3640;11/1/2009 000000;16;9,2;6,5;1175;0,1
3640;12/1/2009 000000;13,2;9,6;6,8;1142;1
3640;13/1/2009 000000;2,6;9,3;-5;1137;0,2
3640;14/1/2009 000000;5;-2,3;0,5;920;0,3
3640;15/1/2009 000000;29,9;0,8;-0,6;1989;0,9
3640;16/1/2009 000000;28,3;-2,4;7,5;1846;0,7
3640;17/1/2009 000000;31,1;2,5;4,3;1344;0,7
3640;18/1/2009 000000;29,6;-2,6;9,6;1961;0,5
3640;19/1/2009 000000;32,4;-1,7;2;1999;0,1
3640;20/1/2009 000000;9,7;-1,5;5;1988;0,1
3640;21/1/2009 000000;17,8;1,3;5,9;868;1
3640;22/1/2009 000000;38;-4,3;6,2;1823;0
3640;23/1/2009 000000;21,7;-0,4;3,4;945;1
3640;24/1/2009 000000;7,1;9;7;964;0,7
3640;25/1/2009 000000;29,2;-2,1;0,6;1854;0,9
3640;26/1/2009 000000;32,7;0,1;4,1;552;0,3
3640;27/1/2009 000000;33,3;7;9,9;1308;0
3640;28/1/2009 000000;22,4;-2,9;9,3;1252;0,3
3640;29/1/2009 000000;6,5;7,8;2,7;1303;0,1
3640;30/1/2009 000000;37,9;-4,3;7,6;1628;0,5
3640;31/1/2009 000000;23,4;1,8;6,7;705;0,6
3640;1/2/2009 000000;11,7;2,9;0,6;895;0,2
3640;2/2/2009 000000;12,6;7,1;-3;1576;0,5
3640;3/2/2009 000000;35,6;3;7,1;1317;0
3640;4/2/2009 000000;38,5;7,7;-2,7;1029;0,2
3640;5/2/2009 000000;2,8;-1;4,5;1937;0
3640;6/2/2009 000000;29,2;7;5;1946;0,7
3640;7/2/2009 000000;7,3;7;4,3;942;0,2
3640;8/2/2009 000000;12;0,9;0,2;995;0
3640;9/2/2009 000000;33;1,5;-3,2;1143;1
3640;10/2/2009 000000;25,9;-4,6;7,1;1867;0,1
3640;11/2/2009 000000;28,4;4,6;-3,4;1744;0,3
3640;12/2/2009 000000;27,8;9,3;5;1680;0,6
3640;13/2/2009 000000;2,1;-3,7;6,7;683;0,5
3640;14/2/2009 000000;8,8;-1,4;5,8;1790;1
3640;15/2/2009 000000;28,1;-4,1;2;1884;0
3640;16/2/2009 000000;34,3;-4;2,2;640;0,1
3640;17/2/2009 000000;31,2;8;-0,9;1723;0,7
3640;18/2/2009 000000;15,5;-0,8;-3,7;506;0,9
3640;19/2/2009 000000;20;0;4;1304;0,9
3640;20/2/2009 000000;10,8;8,7;1;1078;0,9
3640;21/2/2009 000000;9,1;8,5;9,6;1996;0
3640;22/2/2009 000000;30,7;1,4;1,5;1878;0
3640;23/2/2009 000000;20,5;-4,2;5,5;1072;0,1
3640;24/2/2009 000000;2,4;-0,9;-3,1;1968;0,7
3640;25/2/2009 000000;13,8;8,1;4,8;1790;0,7
3640;26/2/2009 000000;25,5;5,4;9,6;1824;0,9
3640;27/2/2009 000000;26,6;9,2;-1,8;1271;0,5
3640;28/2/2009 000000;39,1;-1,4;5,5;979;1
