x,y,ID,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,TOTAL_TEN_DAYS
543245,1075064,1026,1000,1000,1080,1270,2450,16000,7000,3000,1600,1200,36626
559633,1074460,1027,1000,1000,1100,1150,1200,1680,1080,1000,1000,12000,23237
549027,1062692,1028,1000,4000,4000,6000,6000,11000,2000,1000,1000,432000,469028
584631,1097397,1029,1000,1000,1000,1000,1000,1000,1000,1000,1000,78000,88029
603674.3129,1080272.593,1030,1180,1215,1720,1200,1200,1080,1040,1057,1050,1050,12822
556992.5906,1049985.118,1031,1420,1000,1000,1000,1000,1157,1058,1094,1009,1045,11814
600882.9176,1055606.969,1032,1064,1000,1000,1000,1000,1000,1000,1000,1000,300,10396
552401.0655,1054250.582,1033,1076,1479,1000,1000,1000,1246,1210,1216,1067,7600,18927
555392,1088028,1034,1000,1000,1000,1000,1000,1000,1000,1000,1000,10,10044
554855,1076123,1035,1000,1000,1000,1000,1000,1000,1000,1000,1000,230,10265
567996,1076124,1036,1024,1023,1018,1034,1032,1000,1000,1000,1000,5600,15767
577102.3942,1045373.446,1037,1218,1115,1000,1000,1218,1098,1065,1197,1036,230,11214
581394.9775,1025596.226,1038,1675,1180,1097,1069,1037,1018,1012,1007,1004,1800,12937
549285.3996,1028493.911,1039,1042,1000,1082,1042,1036,1046,1054,1038,1044,3278,13701
543019,1062508,1040,1000,4000,4000,5000,5000,7000,4000,5000,1000,245,37285
587716.0383,1070975.175,1041,1000,1007,1000,1000,1000,1000,1000,1000,1000,66500,76548
563869.2241,1038718.917,1042,2478,1000,1000,1000,1000,1000,1040,1000,1000,230600,242160
566549,1084880,1043,1000,1000,1050,1100,1300,1250,1100,1000,1000,7800,18643
581456,1100798,1044,1000,1002,1000,1000,1000,1000,1000,1000,1000,4520,14566
552297,1077327,1045,1002,1003,1012,1080,1200,1250,1100,1200,1150,1100,12142
589383,1088204,1046,1000,1000,1000,1000,1000,1000,1000,1000,1000,50,10096
586823,1088570,1047,1000,1000,1000,1000,1000,1000,1000,1000,1000,50,10097
626024.661,1046484.528,1048,1000,1000,1000,1000,1000,1000,1000,1000,1000,40,10088
553394,1079905,1049,1005,1000,1000,1000,1012,1002,1018,1014,1000,1250,11350
607218.8569,1079267.077,1050,1041,1095,1350,1037,1055,1091,1016,1052,1041,9805,20633
593092.786,1060394.791,1051,1007,1005,1000,1000,1320,1173,1000,1000,1000,760,11316
575925,1087283,1052,1000,1000,1000,1000,1000,1000,1000,1000,1000,54980,65032
589734,1099317,1053,1000,1000,1000,1000,1000,1000,1000,1000,1000,9980,20033
563929,1076660,1054,1000,1000,1000,1000,1000,1000,1000,1000,1000,120,10174
588042,1091566,1055,1000,1000,1000,1000,1000,1000,1000,1000,1000,16,10071
594372.4253,1074912.734,1056,1032,1980,2690,3460,1675,1180,1097,1069,1037,1018,17294
611007.6144,1070453.402,1057,1250,5800,1550,3700,8200,2200,1700,1500,1320,1260,29537
589774.8145,1051835.585,1058,2000,1786,1315,1500,2478,1000,1000,1000,1000,1000,15137
560609,1081144,1059,1850,1350,1015,1037,2600,1320,1018,1013,1007,1080,14349
562443.3853,1026776.938,1060,1000,1065,1023,1024,1900,1083,1480,1362,1230,4500,16727
567738.9563,1043484.217,1061,1320,1438,1032,1048,1052,1000,1024,1032,1040,1058,12105
581188.2597,1033552.544,1062,1230,1320,1054,1036,1042,1000,1082,1042,1036,3560,14464
563996,1103511,1063,1000,1670,1000,1024,1076,1479,1000,1000,1000,1246,12558
549338,1084723,1064,1966,1000,1000,1450,1420,1000,1000,1000,1000,88000,99900
569101.7958,1025902.119,1065,1000,1000,1025,1105,1035,1000,1000,1000,1000,21000,31230
604348.7074,1058654.566,1066,1000,1000,1016,1030,1048,1000,1000,1000,1000,11000,21160
