,,,,T_Ttb,T_Txtb,T_Tmtb,R_R,R_Rx,R_nRx,R_Nm,R_Rtb,H_Utb,H_Um,H_nUm,S_S,S_Stb
2,'My Tho',8,2010,266,317,240,302,55,14,24,9.741935484,87,52,13,143,4.612903226
3,'Cao Lanh',8,2010,275,322,247,387,90,16,23,12.48387097,87,58,5,173,5.580645161
4,'Cang Long',8,2010,270,322,244,245,53,14,23,7.903225806,87,57,25,166,5.35483871
5,'Chau Doc',8,2010,278,326,252,245,53,17,22,7.903225806,84,55,13,154,4.967741935
6,'Can Tho',8,2010,271,318,244,204,43,9,21,6.580645161,87,57,25,183,5.903225806
7,'Soc Trang',8,2010,271,319,248,327,74,1,23,10.5483871,88,64,5,192,6.193548387
8,'Rach Gia',8,2010,280,308,259,312,85,10,22,10.06451613,86,57,19,177,5.709677419
9,'Bac Lieu',8,2010,276,314,249,477,86,13,26,15.38709677,86,63,16,189,6.096774194
10,'Ca Mau',8,2010,277,318,252,304,61,10,26,9.806451613,85,59,12,143,4.612903226
1,'Moc Hoa',9,2010,284,330,262,279,74,16,21,9.3,84,57,23,230,7.666666667
2,'My Tho',9,2010,270,321,243,246,62,14,19,8.2,84,48,14,172,5.733333333
3,'Cao Lanh',9,2010,278,320,253,384,88,29,23,12.8,86,59,9,209,6.966666667
4,'Cang Long',9,2010,273,324,245,203,64,12,17,6.766666667,87,59,14,180,6
5,'Chau Doc',9,2010,279,325,256,217,49,5,23,7.233333333,84,53,24,175,5.833333333
6,'Can Tho',9,2010,276,323,246,121,24,18,20,4.033333333,85,54,23,188,6.266666667
7,'Soc Trang',9,2010,272,318,250,176,29,24,25,5.866666667,89,59,21,174,5.8
8,'Rach Gia',9,2010,282,314,260,195,39,29,19,6.5,85,60,25,192,6.4
9,'Bac Lieu',9,2010,275,317,249,215,88,29,20,7.166666667,86,61,9,189,6.3
10,'Ca Mau',9,2010,278,322,256,236,69,13,23,7.866666667,85,52,23,140,4.666666667
1,'Moc Hoa',10,2010,276,311,254,242,48,10,14,7.806451613,82,59,27,166,5.35483871
2,'My Tho',10,2010,265,310,243,293,49,10,22,9.451612903,84,46,23,120,3.870967742
3,'Cao Lanh',10,2010,270,304,249,513,140,11,19,16.5483871,87,61,23,139,4.483870968
4,'Cang Long',10,2010,266,312,233,328,73,7,24,10.58064516,87,57,23,133,4.290322581
5,'Chau Doc',10,2010,271,310,249,385,106,14,23,12.41935484,85,58,23,134,4.322580645
6,'Can Tho',10,2010,269,310,242,265,79,10,24,8.548387097,86,58,24,162,5.225806452
7,'Soc Trang',10,2010,263,307,244,486,130,27,29,15.67741935,90,59,6,135,4.35483871
8,'Rach Gia',10,2010,275,305,255,204,34,18,24,6.580645161,85,63,29,156,5.032258065
9,'Bac Lieu',10,2010,266,284,245,321,46,7,25,10.35483871,88,62,2,133,4.290322581
10,'Ca Mau',10,2010,266,303,247,461,66,10,26,14.87096774,87,62,4,81,2.612903226
1,'Moc Hoa',11,2010,27.4,31.4,24.7,317,73,22,20,10.56666667,81,54,25,205,6.833333333
2,'My Tho',11,2010,26.5,31,24,125,26,8,16,4.166666667,85,58,16,162,5.4
3,'Cao Lanh',11,2010,26.9,30.3,24.7,334,62,9,20,11.13333333,84,63,13,195,6.5
4,'Cang Long',11,2010,26.8,31.3,24.1,110,35,19,17,3.666666667,87,57,12,178,5.933333333
5,'Chau Doc',11,2010,26.7,31,24.4,200,31,2,18,6.666666667,84,53,25,170,5.666666667
6,'Can Tho',11,2010,27,30.9,24.2,204,46,18,22,6.8,85,57,14,182,6.066666667
7,'Soc Trang',11,2010,26.5,30.6,24.5,457,109,20,22,15.23333333,89,60,27,178,5.933333333
8,'Rach Gia',11,2010,27,30.5,24.9,237,74,17,20,7.9,84,61,13,175,5.833333333
9,'Bac Lieu',11,2010,26.6,29.9,24.6,760,167,20,22,25.33333333,87,65,30,175,5.833333333
10,'Ca Mau',11,2010,26.8,30.4,24.8,360,69,20,24,12,85,64,22,136,4.533333333
1,'Moc Hoa',12,2010,268,308,238,71,49,22,6,2.290322581,78,47,24,216,6.967741935
2,'My Tho',12,2010,259,300,231,45,26,13,5,1.451612903,81,51,25,133,4.290322581
3,'Cao Lanh',12,2010,263,297,236,74,33,14,6,2.387096774,84,60,10,189,6.096774194
4,'Cang Long',12,2010,262,307,232,54,49,14,6,1.741935484,84,58,1,163,5.258064516
5,'Chau Doc',12,2010,263,308,235,149,80,7,7,4.806451613,79,49,26,174,5.612903226
6,'Can Tho',12,2010,264,304,233,82,32,21,9,2.64516129,82,52,10,169,5.451612903
7,'Soc Trang',12,2010,261,302,239,93,66,14,11,3,85,61,7,152,4.903225806
8,'Rach Gia',12,2010,265,300,242,41,13,5,9,1.322580645,81,56,10,179,5.774193548
9,'Bac Lieu',12,2010,263,298,239,33,2,31,6,1.064516129,84,60,23,165,5.322580645
10,'Ca Mau',12,2010,267,301,246,20,5,14,9,0.64516129,81,57,26,88,2.838709677
